employer,carnegie_tier,position,sector,subspecialty,state,city,rank,posted,closes,required_degree,teaching_load,first_seen,last_seen,url
"University of California, Davis",R1,2027 MSE Temporary Lecturer Pool,Academic,—,CA,Davis,Contingent / adjunct,2026-08-17,2026-09-07,,,2026-08-18,2026-08-18,https://recruit.ucdavis.edu/JPF07795
"University of California, Los Angeles",R1,ECE Lecturer AY 2026 - 2027,Academic,—,CA,Los Angeles,Contingent / adjunct,2026-08-17,2027-05-31,,,2026-08-18,2026-08-18,https://recruit.apo.ucla.edu/JPF11275
"University of California, Los Angeles",R1,Temporary Instructor Positions IN Master OF Quantum Science AND Technology Program,Academic,—,CA,Los Angeles,Contingent / adjunct,2026-08-17,2026-11-30,,,2026-08-18,2026-08-18,https://recruit.apo.ucla.edu/JPF11258
"University of California, Santa Barbara",R1,Lecturer in Film and Media Studies (Pooled Recruitment),Academic,—,CA,Santa Barbara,Contingent / adjunct,2026-08-17,2026-08-31,,,2026-08-18,2026-08-18,https://recruit.ap.ucsb.edu/JPF03144
Fairfield University,R3,"Assistant Professor, History",Academic,—,CT,Fairfield,Tenure-track,2026-08-17,,,,2026-08-18,2026-08-18,https://networks.h-net.org/jobs/70220/fairfield-university-assistant-professor-history
Northwestern University,R1,Associate Professor or Professor specializing in modern Japanese cultural studies,Academic,—,IL,Evanston,Tenure-track,2026-08-17,,,,2026-08-18,2026-08-18,https://networks.h-net.org/jobs/70221/northwestern-university-associate-professor-or-professor-specializing-modern-japanese
The University of Iowa,R1,"Assistant Professor, U.S. Women's History (Tenure Track)",Academic,—,IA,Iowa City,Tenure-track,2026-08-17,,,,2026-08-18,2026-08-18,https://networks.h-net.org/jobs/70222/university-iowa-assistant-professor-us-womens-history-tenure-track
University of California,R1,"Riverside - Position in Japanese, Comparative Literature, and Media Studies (Visiting Assistant Professor or Adjunct Assistant Professor)",Academic,—,CA,Davis,Contingent / adjunct,2026-08-16,,,,2026-08-18,2026-08-18,https://networks.h-net.org/jobs/70215/university-california-riverside-position-japanese-comparative-literature-and-media
University of California Berkeley,R1,"Assistant Professor - General Public Policy and Administration: Policy Analysis, Public Administration and Management - Goldman School of Public Policy",Academic,Policy analysis,CA,Berkeley,Tenure-track,2026-08-17,,,,2026-08-18,2026-08-18,https://networks.h-net.org/jobs/70223/university-california-berkeley-assistant-professor-general-public-policy-and
Cornell University,R1,Cornell Information Science Postdoctoral Associate – National Tutoring Observatory,Academic,—,NY,Ithaca,Contingent / adjunct,2026-08-17,2027-04-13,,,2026-08-18,2026-08-18,https://academicjobsonline.org/ajo/Cornell/IS/32467
Washington University in St. Louis,R1,Cluster hire in AI for Modeling the Physical World and Living Systems,Academic,—,MO,Saint Louis,Tenure-track,2026-08-17,2026-10-01,,,2026-08-18,2026-08-18,https://academicjobsonline.org/ajo/WUSTL/Physics%20Department/32470
"University of California, Merced",R2,"Teaching Assistant & Teaching Fellow in Psychological Sciences: AY 26-27, Includes Summer 2026 (Anticipated)",Academic,—,CA,Merced,Career (non-TT),2026-03-03,2026-07-28,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02089
"University of California, Merced",R2,Associate Instructor in Public Health: AY 2026-2027,Academic,—,CA,Merced,Contingent / adjunct,2026-07-15,2026-07-21,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02206
"University of California, Merced",R2,Lecturer in Public Health: Academic Year 2026-27 (Anticipated),Academic,—,CA,Merced,Contingent / adjunct,2026-05-20,2026-06-30,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02182
"University of California, Merced",R2,"Teaching Assistant & Teaching Fellow in Public Health: AY 26-27, Includes Summer 2026 (Anticipated)",Academic,—,CA,Merced,Career (non-TT),2026-03-03,2026-07-27,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02090
"University of California, Merced",R2,Associate Instructor in Interdisciplinary Humanities: AY 2026-2027,Academic,—,CA,Merced,Contingent / adjunct,2026-07-15,2026-07-21,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02204
"University of California, Merced",R2,"Teaching Assistant & Teaching Fellow in Interdisciplinary Humanities: AY 26-27, Includes Summer 2026 (Anticipated)",Academic,—,CA,Merced,Career (non-TT),2026-03-03,2026-07-30,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02087
"University of California, Merced",R2,Associate Instructor in Sociology: AY 2026-2027,Academic,—,CA,Merced,Contingent / adjunct,2026-07-15,2026-07-21,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02208
"University of California, Merced",R2,Lecturer in Sociology:  Fall 2026 Semester (Anticipated),Academic,—,CA,Merced,Contingent / adjunct,2026-06-24,2026-07-23,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02200
"University of California, Merced",R2,"Part-Time Instructor, Business, Entrepreneurship, & Leadership",Academic,—,CA,Merced,Contingent / adjunct,2025-12-02,2026-08-01,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02041
"University of California, Merced",R2,"Part-Time Instructor, Education",Academic,—,CA,Merced,Contingent / adjunct,2025-12-02,2025-12-16,,,2026-08-17,2026-08-18,https://aprecruit.ucmerced.edu/JPF02042
"University of California, Davis",R1,EVE Plant Evolutionary Biology Assistant Professor,Academic,—,CA,Davis,Tenure-track,2026-08-17,2026-10-17,Ph.D.,,2026-08-17,2026-08-18,https://recruit.ucdavis.edu/JPF07777
"University of California, Davis",R1,Winter/Spring 2027 Lecturer Iranian Studies,Academic,—,CA,Davis,Contingent / adjunct,2026-08-17,2026-09-14,PhD,,2026-08-17,2026-08-18,https://recruit.ucdavis.edu/JPF07828
"University of California, Davis",R1,Academic Transplant Hepatologist - Assistant/Associate Professor – HSCP/ClinX,Academic,—,CA,Davis,Tenure-track,2026-08-17,2026-09-07,,,2026-08-17,2026-08-18,https://recruit.ucdavis.edu/JPF07591
"University of California, Davis",R1,Academic Anatomic Pathologist/Assistant/Associate/Full Professor,Academic,—,CA,Davis,Tenure-track,2026-08-17,2026-09-14,,,2026-08-17,2026-08-18,https://recruit.ucdavis.edu/JPF07692
"University of California, Los Angeles",R1,"Lecturer, Japanese History",Academic,—,CA,Los Angeles,Contingent / adjunct,2026-06-11,2026-07-20,"Ph.D. in History or related field; must be in hand as of August 30, 2026",,2026-08-17,2026-08-17,https://recruit.apo.ucla.edu/JPF11080
"University of California, Los Angeles",R1,"Lecturer, Jewish History",Academic,—,CA,Los Angeles,Contingent / adjunct,2026-06-11,2026-07-20,"Ph.D. in History or related field; must be in hand as of August 30, 2026",,2026-08-17,2026-08-17,https://recruit.apo.ucla.edu/JPF11081
Austin Community College District,,"Adjunct Faculty, Phlebotomy",Academic,—,TX,Austin,Contingent / adjunct,2026-08-14,2027-05-31,,,2026-08-15,2026-08-15,https://austincc.wd1.myworkdayjobs.com/External/job/Austin-Community-College/Adjunct-Faculty--Phlebotomy_R-9746
Barry University,R3,"Adjunct Faculty, Mathematical Sciences",Academic,—,FL,Miami,Contingent / adjunct,,,,,2026-08-15,2026-08-15,https://barryu.wd5.myworkdayjobs.com/BarryU/job/Miami-Shores--Main-Campus/Adjunct-Faculty--Mathematical-Sciences_R0007778
