city,county,county_fips,place_fips,metro_status,cbsa_type,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct,has_edc,edc_type,edc_first_report_year
HOUSTON,Harris,48201,35000,Metro,Metropolitan,2316120,1600416000.0,836905000.0,2865310000.0,1237.0,12757985000.0,353000000.0,13110985000.0,5661.0,1.0,166330315878.0,71814.0,770200.0,698992968.0,892880233.0,27.7,0,,
SAN ANTONIO,Bexar,48029,65000,Metro,Metropolitan,1567118,644788000.0,441119000.0,1244258000.0,794.0,11292160000.0,660000000.0,11952160000.0,7627.0,1.25,60748239348.0,38764.0,337952.0,370289322.0,479106605.0,29.4,1,B,1997
DALLAS,Dallas,48113,19000,Metro,Metropolitan,1343266,1253000000.0,355065000.0,1784376000.0,1328.0,11122228000.0,541956000.0,11664184000.0,8683.0,1.0,71625283487.0,53322.0,358810.0,315186747.0,426748146.0,35.4,1,B,2003
AUSTIN,Travis,48453,5000,Metro,Metropolitan,995484,937352000.0,277450000.0,1498299000.0,1505.0,7435662000.0,0.0,7435662000.0,7469.0,1.0,61921738221.0,62203.0,351244.0,240562978.0,346506960.0,44.0,0,,
FORT WORTH,Tarrant,48439,27000,Metro,Metropolitan,927720,574677000.0,277954000.0,948649000.0,1023.0,2561392000.0,0.0,2561392000.0,2761.0,1.0,30136313186.0,32484.0,190802.0,165687273.0,231940150.0,40.0,1,B,1997
EL PASO,El Paso,48141,24000,Metro,Metropolitan,681534,344586000.0,166706000.0,627529000.0,921.0,2388378000.0,80001000.0,2468379000.0,3622.0,1.0,19550326568.0,28686.0,140766.0,95909987.0,132615536.0,38.3,0,,
ARLINGTON,Tarrant,48439,4000,Metro,Metropolitan,398864,171237000.0,146404000.0,375140000.0,941.0,2378665000.0,0.0,2378665000.0,5964.0,2.0,13840269830.0,34699.0,87920.0,120966239.0,192752363.0,59.3,1,B,1997
CORPUS CHRISTI,Nueces,48355,17000,Metro,Metropolitan,327248,141457000.0,96586000.0,283952000.0,868.0,1498132000.0,0.0,1498132000.0,4578.0,1.38,10574215584.0,32313.0,74600.0,82124576.0,97338773.0,18.5,1,A&B,2001
PLANO,Collin,48085,58016,Metro,Metropolitan,291296,209887000.0,97477000.0,365606000.0,1255.0,380630000.0,4800000.0,385430000.0,1323.0,1.0,16586962834.0,56942.0,88304.0,88612906.0,113984729.0,28.6,0,,
LAREDO,Webb,48479,41464,Metro,Metropolitan,263640,99697000.0,67083000.0,194029000.0,736.0,873739000.0,0.0,873739000.0,3314.0,1.25,6521151629.0,24735.0,58078.0,43895770.0,61460117.0,40.0,1,B,1998
LUBBOCK,Lubbock,48303,45000,Metro,Metropolitan,262611,105805000.0,90000000.0,238005000.0,906.0,1373684000.0,0.0,1373684000.0,5231.0,1.5,10715921438.0,40805.0,67150.0,75808617.0,101944313.0,34.5,1,A,2005
IRVING,Dallas,48113,37000,Metro,Metropolitan,240916,187396000.0,90023000.0,316771000.0,1315.0,709195000.0,0.0,709195000.0,2944.0,1.0,17757981318.0,73710.0,59582.0,76085296.0,106486048.0,40.0,0,,
GARLAND,Dallas,48113,29000,Metro,Metropolitan,238139,133820000.0,42700000.0,192551000.0,809.0,1267545000.0,57500000.0,1325045000.0,5564.0,1.0,6081466487.0,25537.0,48894.0,29561151.0,47257688.0,59.9,0,,
FRISCO,Collin,48085,27684,Metro,Metropolitan,209980,152247000.0,109939000.0,289296000.0,1378.0,794185000.0,0.0,794185000.0,3782.0,2.0,10395742740.0,49508.0,59742.0,90036000.0,136588801.0,51.7,1,A&B,1997
MCKINNEY,Collin,48085,45744,Metro,Metropolitan,208272,128547000.0,71553000.0,223602000.0,1074.0,557471000.0,0.0,557471000.0,2677.0,2.0,5707008126.0,27402.0,45718.0,57325726.0,89193732.0,55.6,1,A&B,1997
AMARILLO,Potter,48375,3000,Metro,Metropolitan,199654,57595000.0,90009000.0,233219000.0,1168.0,502149000.0,0.0,502149000.0,2515.0,2.0,7993646610.0,40037.0,54240.0,78934689.0,100432055.0,27.2,1,A,1997
GRAND PRAIRIE,Dallas,48113,30464,Metro,Metropolitan,195272,113825000.0,80188000.0,214680000.0,1099.0,535045000.0,0.0,535045000.0,2740.0,1.75,7504855501.0,38433.0,41626.0,62067613.0,84189164.0,35.6,1,B,1997
BROWNSVILLE,Cameron,48061,10768,Metro,Metropolitan,183428,51981000.0,36628000.0,97439000.0,531.0,449125000.0,70360000.0,519485000.0,2832.0,2.0,4143945663.0,22592.0,41622.0,40414677.0,58136168.0,43.8,1,A&B,1997
KILLEEN,Bell,48027,39148,Metro,Metropolitan,153991,50655000.0,31528000.0,92735000.0,602.0,208355000.0,0.0,208355000.0,1353.0,1.5,3124510451.0,20290.0,26404.0,24865814.0,34773317.0,39.8,0,,
PASADENA,Harris,48201,56000,Metro,Metropolitan,149440,59752000.0,39899000.0,135232000.0,905.0,233235000.0,0.0,233235000.0,1561.0,1.5,4429354607.0,29640.0,27876.0,36248133.0,43929246.0,21.2,1,B,1999
DENTON,Denton,48121,19972,Metro,Metropolitan,147515,81027000.0,45405000.0,167694000.0,1137.0,1827392000.0,5678000.0,1833070000.0,12426.0,1.5,5334774622.0,36164.0,32668.0,36414049.0,53435232.0,46.7,0,,
MIDLAND,Midland,48329,48072,Metro,Metropolitan,147069,61553000.0,58044000.0,140819000.0,958.0,255592000.0,0.0,255592000.0,1738.0,1.25,10215469324.0,69460.0,47200.0,75779196.0,85984397.0,13.5,1,A&B,2000
MCALLEN,Hidalgo,48215,45384,Metro,Metropolitan,143751,52359000.0,78368000.0,148654000.0,1034.0,59553000.0,0.0,59553000.0,414.0,2.0,7748357566.0,53901.0,46240.0,69397124.0,93702712.0,35.0,1,B,1998
WACO,Mclennan,48309,76000,Metro,Metropolitan,141377,96323000.0,48720000.0,169144000.0,1196.0,1871350000.0,0.0,1871350000.0,13237.0,1.5,5239042155.0,37057.0,37624.0,40654801.0,55868335.0,37.4,1,A,1997
CARROLLTON,Dallas,48113,13024,Metro,Metropolitan,139892,92796000.0,45941000.0,154977000.0,1108.0,200755000.0,0.0,200755000.0,1435.0,1.0,8485656085.0,60659.0,42894.0,40266286.0,49850549.0,23.8,0,,
