fips,county,year,metro_status,cbsa_type,population,voting_age_pop,total_votes,rep_votes,dem_votes,rep_two_party_share,margin_rep,turnout_vap,pct_hispanic,pct_black,pct_white_nh,median_age,pop_density,unemployment_rate,pct_bachelors_plus,median_household_income,poverty_rate,vote_center_adopt_year,vote_center
48001,Anderson,2000,Non-Metro,Micropolitan,55062,,15080,9835,5041,0.6611,0.3223,,12.2,23.7,63.1,,51.8,6.2,11.1,31930.0,20.5,,0
48001,Anderson,2004,Non-Metro,Micropolitan,56245,,16301,11525,4678,0.7113,0.4226,,13.6,23.0,62.4,,52.9,7.0,11.1,31884.0,21.0,,0
48001,Anderson,2008,Non-Metro,Micropolitan,57963,,16655,11884,4630,0.7196,0.4393,,15.2,21.9,61.8,,54.5,5.6,10.1,45551.0,21.2,,0
48001,Anderson,2012,Non-Metro,Micropolitan,58404,46966.0,16212,12262,3813,0.7628,0.5256,0.3452,16.1,21.7,60.9,39.1,55.0,6.3,10.1,41530.0,22.5,,0
48001,Anderson,2016,Non-Metro,Micropolitan,57665,46531.0,16977,13201,3369,0.7967,0.5934,0.3649,17.3,21.8,59.6,39.3,54.3,4.3,10.1,43967.0,20.5,,0
48001,Anderson,2020,Non-Metro,Micropolitan,57937,46591.0,19227,15110,3955,0.7926,0.5851,0.4127,19.2,21.7,57.4,39.2,54.5,5.7,14.5,50879.0,20.9,,0
48001,Anderson,2024,Non-Metro,Micropolitan,59512,48249.0,19353,15597,3635,0.811,0.622,0.4011,20.0,22.1,55.7,39.3,56.0,3.5,14.5,56548.0,21.4,,0
48003,Andrews,2000,Non-Metro,Micropolitan,12949,,4024,3091,876,0.7792,0.5584,,40.2,1.8,56.5,,8.6,5.0,12.4,35617.0,14.9,,0
48003,Andrews,2004,Non-Metro,Micropolitan,13006,,4536,3837,677,0.85,0.7,,43.6,1.8,52.9,,8.7,4.7,12.4,40493.0,14.8,,0
48003,Andrews,2008,Non-Metro,Micropolitan,14099,,4629,3816,790,0.8285,0.657,,47.8,1.6,48.9,,9.4,3.4,14.2,49043.0,13.4,,0
48003,Andrews,2012,Non-Metro,Micropolitan,15387,10829.0,4482,3639,795,0.8207,0.6414,0.4139,50.3,1.7,46.3,32.6,10.3,4.0,14.2,57690.0,11.3,,0
48003,Andrews,2016,Non-Metro,Micropolitan,18058,12446.0,4943,3927,836,0.8245,0.649,0.3972,56.1,1.9,40.6,31.0,12.0,4.7,14.2,60644.0,11.7,,0
48003,Andrews,2020,Non-Metro,Micropolitan,18616,12766.0,5863,4943,850,0.8533,0.7065,0.4593,56.1,2.0,40.3,31.6,12.4,8.2,19.9,76600.0,9.2,,0
48003,Andrews,2024,Non-Metro,Micropolitan,18923,12992.0,6059,5205,806,0.8659,0.7318,0.4664,58.9,2.3,37.3,32.3,12.6,3.0,19.9,80936.0,11.4,,0
48005,Angelina,2000,Non-Metro,Micropolitan,80270,,26974,16648,9957,0.6257,0.2515,,14.5,14.9,69.4,,100.6,4.9,14.7,34022.0,16.3,2021,0
48005,Angelina,2004,Non-Metro,Micropolitan,82070,,28364,18932,9302,0.6705,0.3411,,16.6,15.1,66.9,,102.9,6.5,14.7,35749.0,17.3,2021,0
48005,Angelina,2008,Non-Metro,Micropolitan,84961,,29153,19569,9379,0.676,0.352,,18.8,15.4,64.4,,106.5,4.8,15.1,37782.0,20.1,2021,0
48005,Angelina,2012,Non-Metro,Micropolitan,87299,64105.0,28406,20303,7834,0.7216,0.4432,0.4431,20.2,15.5,62.9,36.3,109.4,6.9,15.1,39747.0,20.8,2021,0
48005,Angelina,2016,Non-Metro,Micropolitan,87837,64869.0,29911,21668,7538,0.7419,0.4838,0.4611,21.5,15.5,61.2,36.6,110.1,5.9,15.1,43658.0,19.0,2021,0
48005,Angelina,2020,Non-Metro,Micropolitan,86502,64230.0,34574,25076,9143,0.7328,0.4656,0.5383,22.9,15.9,59.5,37.5,108.4,7.6,18.0,49943.0,17.0,2021,0
48005,Angelina,2024,Non-Metro,Micropolitan,88094,66386.0,34419,26049,8146,0.7618,0.5236,0.5185,24.3,15.6,58.0,37.9,110.4,4.4,18.0,57298.0,17.2,2021,1
48007,Aransas,2000,Metro,Metropolitan,22452,,8247,5390,2637,0.6715,0.343,,20.5,1.5,73.8,,89.1,6.0,16.7,31473.0,20.6,2015,0
48007,Aransas,2004,Metro,Metropolitan,23067,,9268,6569,2640,0.7133,0.4266,,22.9,1.5,71.8,,91.5,8.3,16.7,31869.0,18.9,2015,0
48007,Aransas,2008,Metro,Metropolitan,23225,,9778,6693,3006,0.6901,0.3801,,24.7,1.4,70.7,,92.1,4.4,23.1,40789.0,19.3,2015,0
48007,Aransas,2012,Metro,Metropolitan,23222,18810.0,9648,6830,2704,0.7164,0.4328,0.5129,25.6,1.5,69.5,49.3,92.1,6.9,23.1,40883.0,19.6,2015,0
48007,Aransas,2016,Metro,Metropolitan,24812,20088.0,10512,7740,2465,0.7585,0.5169,0.5233,27.2,1.8,67.6,48.5,98.4,5.6,23.1,44866.0,18.8,2015,1
48007,Aransas,2020,Metro,Metropolitan,23939,19670.0,12290,9239,2916,0.7601,0.5202,0.6248,26.1,2.0,68.5,50.7,95.0,8.4,27.6,51461.0,17.1,2015,1
48007,Aransas,2024,Metro,Metropolitan,25595,21177.0,13028,10090,2831,0.7809,0.5618,0.6152,27.7,2.1,66.6,50.7,101.5,4.9,27.6,60112.0,17.1,2015,1
48009,Archer,2000,Metro,Metropolitan,8966,,3997,2951,993,0.7482,0.4965,,4.9,0.1,93.5,,9.9,3.2,15.9,40570.0,10.0,2018,0
48009,Archer,2004,Metro,Metropolitan,9078,,4451,3556,878,0.802,0.604,,6.5,0.2,91.7,,10.0,3.8,15.9,43330.0,9.7,2018,0
48009,Archer,2008,Metro,Metropolitan,9104,,4365,3595,740,0.8293,0.6586,,7.4,0.6,90.6,,10.1,3.7,19.0,51616.0,8.5,2018,0
48009,Archer,2012,Metro,Metropolitan,8840,6771.0,4164,3600,525,0.8727,0.7455,0.615,7.5,0.7,90.1,43.8,9.8,5.5,19.0,55459.0,9.4,2018,0
48009,Archer,2016,Metro,Metropolitan,8762,6862.0,4283,3786,394,0.9057,0.8115,0.6242,8.2,1.0,88.6,44.4,9.7,4.3,19.0,58928.0,10.5,2018,0
48009,Archer,2020,Metro,Metropolitan,8555,6688.0,4796,4300,446,0.906,0.8121,0.7171,8.6,1.3,87.3,43.7,9.5,5.3,25.2,69566.0,6.9,2018,1
48009,Archer,2024,Metro,Metropolitan,9155,7060.0,5132,4592,520,0.8983,0.7966,0.7269,10.4,1.5,84.8,42.1,10.1,3.5,25.2,71672.0,9.7,2018,1
48011,Armstrong,2000,Metro,Metropolitan,2166,,938,772,150,0.8373,0.6746,,5.4,0.3,93.7,,2.4,3.2,20.5,37313.0,12.2,,0
48011,Armstrong,2004,Metro,Metropolitan,2023,,1004,830,170,0.83,0.66,,5.6,0.3,93.2,,2.2,3.9,20.5,40857.0,9.7,,0
48011,Armstrong,2008,Metro,Metropolitan,1936,,990,856,128,0.8699,0.7398,,6.3,0.6,91.6,,2.1,3.5,23.6,47097.0,10.0,,0
48011,Armstrong,2012,Metro,Metropolitan,1936,1522.0,935,828,98,0.8942,0.7883,0.6143,7.0,0.8,90.7,45.8,2.1,4.4,23.6,50040.0,11.0,,0
48011,Armstrong,2016,Metro,Metropolitan,1901,1457.0,1021,924,70,0.9296,0.8592,0.7008,8.6,1.1,88.2,44.0,2.1,2.8,23.6,54868.0,10.8,,0
48011,Armstrong,2020,Metro,Metropolitan,1851,1431.0,1112,1035,75,0.9324,0.8649,0.7771,8.4,1.4,88.0,43.1,2.0,4.2,21.4,62256.0,9.3,,0
48011,Armstrong,2024,Metro,Metropolitan,1809,1424.0,1109,1029,77,0.9304,0.8608,0.7788,10.4,2.0,84.4,44.9,2.0,3.3,21.4,68555.0,10.5,,0
48013,Atascosa,2000,Metro,Metropolitan,38805,,10746,6231,4322,0.5904,0.1809,,58.8,0.8,39.6,,31.8,4.2,10.5,33284.0,19.1,2019,0
48013,Atascosa,2004,Metro,Metropolitan,42109,,12116,7635,4421,0.6333,0.2666,,60.3,1.0,38.0,,34.5,5.8,10.5,34699.0,18.9,2019,0
48013,Atascosa,2008,Metro,Metropolitan,43947,,9938,5462,4415,0.553,0.106,,61.2,1.0,37.0,,36.0,4.7,13.1,41883.0,18.2,2019,0
48013,Atascosa,2012,Metro,Metropolitan,45506,32514.0,12721,7461,5133,0.5924,0.1848,0.3912,62.6,1.0,35.6,36.0,37.3,6.7,13.1,44828.0,17.8,2019,0
48013,Atascosa,2016,Metro,Metropolitan,48382,34968.0,13673,8618,4651,0.6495,0.299,0.391,63.6,1.2,34.3,35.0,39.7,5.3,13.1,53622.0,16.3,2019,0
48013,Atascosa,2020,Metro,Metropolitan,49290,35974.0,18118,12039,5876,0.672,0.344,0.5036,63.8,1.6,33.4,36.2,40.4,8.6,15.3,60594.0,14.9,2019,1
48013,Atascosa,2024,Metro,Metropolitan,52783,38877.0,18442,13142,5153,0.7183,0.4367,0.4744,66.9,1.9,29.9,36.3,43.3,3.8,15.3,58330.0,18.4,2019,1
48015,Austin,2000,Metro,Metropolitan,23836,,9227,6661,2407,0.7346,0.4691,,16.2,10.8,72.0,,36.9,4.0,17.3,40111.0,10.7,2022,0
48015,Austin,2004,Metro,Metropolitan,25976,,10702,8072,2582,0.7576,0.5153,,18.7,10.4,69.9,,40.2,5.3,17.3,42898.0,11.2,2022,0
48015,Austin,2008,Metro,Metropolitan,27935,,11721,8786,2821,0.757,0.5139,,22.2,10.1,66.7,,43.2,4.2,18.6,49721.0,10.6,2022,0
48015,Austin,2012,Metro,Metropolitan,28612,21524.0,11649,9265,2252,0.8045,0.6089,0.5412,24.2,9.6,65.1,41.0,44.3,6.4,18.6,51448.0,11.8,2022,0
48015,Austin,2016,Metro,Metropolitan,29477,22318.0,12274,9637,2320,0.806,0.6119,0.55,25.7,9.5,63.7,41.2,45.6,5.3,18.6,55973.0,14.3,2022,0
48015,Austin,2020,Metro,Metropolitan,30135,23028.0,14554,11447,2951,0.795,0.5901,0.632,26.8,9.7,61.9,41.7,46.6,6.7,23.4,60593.0,11.4,2022,0
48015,Austin,2024,Metro,Metropolitan,32546,24911.0,15379,12457,2816,0.8156,0.6312,0.6174,29.1,9.3,59.7,41.4,50.3,3.7,23.4,73248.0,11.6,2022,1
48017,Bailey,2000,Non-Metro,Neither,6596,,2090,1589,488,0.765,0.5301,,47.6,1.6,50.1,,8.0,4.7,9.3,29566.0,19.7,,0
48017,Bailey,2004,Non-Metro,Neither,6945,,2412,1882,525,0.7819,0.5638,,51.8,1.5,46.1,,8.4,5.5,9.3,28841.0,17.6,,0
48017,Bailey,2008,Non-Metro,Neither,6979,,2316,1618,682,0.7035,0.407,,56.9,1.4,41.2,,8.4,4.1,13.4,33331.0,17.4,,0
48017,Bailey,2012,Non-Metro,Neither,7175,4916.0,1816,1339,466,0.7418,0.4837,0.3694,60.6,1.4,37.4,32.2,8.7,6.9,13.4,38504.0,17.5,,0
48017,Bailey,2016,Non-Metro,Neither,7219,4902.0,1793,1344,397,0.772,0.5439,0.3658,63.8,1.8,33.9,32.3,8.7,4.4,13.4,40536.0,16.6,,0
48017,Bailey,2020,Non-Metro,Neither,6867,4818.0,1860,1434,409,0.7781,0.5562,0.3861,65.5,2.2,31.5,33.9,8.3,4.8,16.7,48259.0,14.4,,0
48017,Bailey,2024,Non-Metro,Neither,7031,4880.0,1740,1395,332,0.8078,0.6155,0.3566,67.0,5.6,28.7,31.6,8.5,4.7,16.7,51193.0,16.4,,0
48019,Bandera,2000,Metro,Metropolitan,17755,,7273,5613,1426,0.7974,0.5948,,13.5,0.4,84.3,,22.4,3.7,19.4,39374.0,13.3,,0
48019,Bandera,2004,Metro,Metropolitan,19226,,8741,6933,1738,0.7996,0.5991,,15.5,0.4,82.3,,24.3,5.1,19.4,40522.0,12.3,,0
48019,Bandera,2008,Metro,Metropolitan,20407,,9297,6935,2250,0.755,0.5101,,16.3,0.5,81.6,,25.8,4.4,22.8,48688.0,13.2,,0
48019,Bandera,2012,Metro,Metropolitan,20526,16669.0,9448,7426,1864,0.7994,0.5987,0.5668,16.8,0.5,80.8,49.7,25.9,6.5,22.8,48492.0,13.9,,0
48019,Bandera,2016,Metro,Metropolitan,21127,17498.0,10218,8163,1726,0.8255,0.6509,0.584,17.8,0.8,79.2,51.9,26.7,4.1,22.8,55885.0,14.6,,0
48019,Bandera,2020,Metro,Metropolitan,20994,17531.0,12715,10057,2505,0.8006,0.6012,0.7253,19.3,1.3,76.8,53.3,26.5,5.8,25.5,64389.0,11.0,,0
48019,Bandera,2024,Metro,Metropolitan,22830,19008.0,13592,10939,2532,0.812,0.6241,0.7151,22.5,1.6,73.1,52.8,28.9,3.5,25.5,66649.0,12.9,,0
48021,Bastrop,2000,Metro,Metropolitan,58234,,18308,10310,6973,0.5965,0.1931,,24.2,9.0,65.3,,65.6,3.5,17.0,43302.0,11.9,2022,0
48021,Bastrop,2004,Metro,Metropolitan,67122,,23441,13290,9794,0.5757,0.1514,,28.2,8.7,61.5,,75.6,5.8,17.0,44223.0,12.7,2022,0
48021,Bastrop,2008,Metro,Metropolitan,72389,,25918,13817,11687,0.5418,0.0835,,30.9,8.4,58.8,,81.5,4.9,16.5,52129.0,13.0,2022,0
48021,Bastrop,2012,Metro,Metropolitan,75058,55573.0,24481,14033,9864,0.5872,0.1745,0.4405,33.1,7.9,57.1,38.7,84.5,6.6,16.5,50024.0,14.3,2022,0
48021,Bastrop,2016,Metro,Metropolitan,80109,59579.0,28454,16328,10569,0.6071,0.2141,0.4776,35.6,7.8,54.5,38.6,90.2,3.7,16.5,56449.0,13.2,2022,0
48021,Bastrop,2020,Metro,Metropolitan,98072,72502.0,36665,20516,15474,0.57,0.1401,0.5057,42.9,7.1,48.2,37.5,110.4,6.0,23.3,74612.0,10.8,2022,0
48021,Bastrop,2024,Metro,Metropolitan,114931,85195.0,39788,23301,15989,0.5931,0.1861,0.467,46.9,7.1,44.0,36.6,129.4,3.4,23.3,77345.0,11.3,2022,1
48023,Baylor,2000,Non-Metro,Neither,4135,,1984,1285,663,0.6597,0.3193,,9.4,3.3,85.9,,4.8,4.7,12.1,26026.0,18.3,,0
48023,Baylor,2004,Non-Metro,Neither,3955,,1640,1169,467,0.7145,0.4291,,10.3,3.0,85.1,,4.6,5.4,12.1,26873.0,17.2,,0
