city_norm,edc_type,edc_first_report_year
ABBOTT,A&B,2001
ABILENE,A,1997
ALAMO,B,1998
ALBA,B,2005
ALBANY,A&B,1997
ALEDO,B,2009
ALLEN,A&B,1997
ALTO,B,2010
ALTON,A&B,2005
ALVARADO,B,2002
ALVORD,B,2001
AMARILLO,A,1997
ANDREWS,A&B,2006
ANGLETON,B,2001
ANNA,A&B,2000
ANSON,A&B,1997
ARCHER CITY,A&B,2002
ARCOLA,B,1998
ARGYLE,B,2003
ARLINGTON,B,1997
ASPERMONT,A&B,1997
ATHENS,A&B,1997
ATLANTA,A&B,1997
AUBREY,B,2001
AVINGER,B,2004
BAIRD,A&B,1997
BALCH SPRINGS,A&B,1998
BALMORHEA,B,2003
BANDERA,B,1997
BANGS,B,2007
BARTLETT,B,2015
BARTONVILLE,B,2003
BASTROP,B,1997
BAY CITY,B,1997
BEASLEY,A&B,1998
BEDFORD,B,1998
BEE CAVE,B,2003
BEEVILLE,B,1997
BELLEVUE,A&B,2015
BELLMEAD,A&B,2010
BELLS,A&B,2000
BELLVILLE,B,1999
BELTON,A&B,1997
BENBROOK,B,1997
BENJAMIN,B,2009
BERTRAM,B,2002
BIG LAKE,B,2000
BIG SANDY,B,1997
BIG SPRING,A,1997
BISHOP,B,1999
BLUE RIDGE,A&B,1998
BONHAM,B,1998
BOOKER,A,1998
BORGER,A,1997
BOVINA,B,2003
BOWIE,A&B,1998
BRADY,A&B,1998
BRECKENRIDGE,A&B,1997
"BRECKENRIDGE, TEXAS",A,2000
BREMOND,A&B,2002
BRENHAM,B,1997
BRIDGEPORT,A,1997
BRONTE,A&B,1997
BROOKSHIRE,B,1999
BROWNFIELD,A,1997
BROWNSBORO,B,2004
BROWNSVILLE,A&B,1997
BROWNWOOD,A,1997
BUDA,B,2002
BUFFALO,B,1997
BUFFALO GAP,B,2008
BULLARD,B,2007
BURKBURNETT,B,1998
BURLESON,A&B,1997
BURNET,A&B,1997
CADDO MILLS,B,1999
CALVERT,A&B,1998
CAMERON,A&B,1997
CAMPBELL,B,2020
CANADIAN,A,1997
