month,date,total_incidents,city_of_austin_incidents,travis_county_incidents,priority_1_incidents,priority_2_incidents,priority_3_incidents,priority_4_incidents,priority_5_incidents,pct_on_time_all,pct_on_time_city,pct_on_time_county,pct_on_time_p1,pct_on_time_p2,on_time_target
201801,2018-01-01T00:00:00.000,10660,9441,1177,850,2235,2127,3119,1110,94.2264,95.0443,87.6373,89.5448,92.98,90
201802,2018-02-01T00:00:00.000,9416,8319,1057,729,1844,1871,2914,961,94.3116,95.0919,88.1632,91.0948,93.6758,90
201803,2018-03-01T00:00:00.000,10543,9319,1177,772,2040,2146,3341,1020,94.8569,95.4412,90.1593,91.1267,93.8628,90
201804,2018-04-01T00:00:00.000,10012,8854,1124,685,1935,2042,3206,986,94.5108,95.26,88.5796,88.0989,94.3587,90
201805,2018-05-01T00:00:00.000,10913,9664,1213,811,2180,2360,3264,1049,94.3473,95.0631,88.5893,90.7877,93.6897,90
201806,2018-06-01T00:00:00.000,10368,9225,1114,799,2044,2184,3102,1096,94.5412,95.0894,89.9805,90.4371,94.4219,90
201807,2018-07-01T00:00:00.000,10502,9211,1259,803,1952,2241,3162,1053,95.0297,95.8037,89.3977,92.4426,95.5366,90
201808,2018-08-01T00:00:00.000,10455,9305,1112,751,1972,2298,3189,1095,95.2341,95.9995,88.7695,91.2482,94.8339,90
201809,2018-09-01T00:00:00.000,10145,8960,1149,684,1935,2098,3182,1061,94.7491,95.4905,88.9719,89.5312,93.9135,90
201810,2018-10-01T00:00:00.000,10531,9291,1207,656,2172,2061,3281,1121,94.0222,94.6169,89.3597,89.4563,93.7292,90
201811,2018-11-01T00:00:00.000,9555,8421,1104,605,1923,1921,2989,983,94.799,95.3423,90.6341,91.8727,94.6018,90
201812,2018-12-01T00:00:00.000,9800,8664,1103,619,2048,1872,3055,1070,94.6387,95.2034,90.1088,89.1566,93.1749,90
201901,2019-01-01T00:00:00.000,9595,8385,1171,571,2040,1742,3022,1010,94.84,95.2986,91.5684,90.1098,94.3939,90
201902,2019-02-01T00:00:00.000,9204,8149,1031,582,1981,1728,2870,988,94.1872,94.5836,91.0135,91.6817,93.0693,90
201903,2019-03-01T00:00:00.000,10586,9363,1183,719,2199,2167,3221,1057,93.4829,93.9894,89.4204,88.2962,92.4634,90
201904,2019-04-01T00:00:00.000,10416,9217,1164,662,2083,2102,3316,1054,93.5031,93.8362,90.8411,89.9676,91.954,90
201905,2019-05-01T00:00:00.000,11091,9812,1247,693,2188,2334,3485,1112,93.8593,94.3657,89.8601,89.7151,92.4787,90
201906,2019-06-01T00:00:00.000,10932,9763,1134,752,2074,2417,3348,1172,93.5119,93.8777,90.3006,89.6159,91.6749,90
201907,2019-07-01T00:00:00.000,11080,9812,1228,744,2272,2245,3382,1169,93.7917,94.5216,87.8158,87.7192,93.053,90
201908,2019-08-01T00:00:00.000,11529,10218,1282,730,2242,2453,3577,1216,93.3194,94.0053,87.7374,90.9774,92.4721,90
201909,2019-09-01T00:00:00.000,11076,9867,1171,735,2224,2374,3366,1168,93.2889,93.5077,91.4259,87.9056,91.968,90
201910,2019-10-01T00:00:00.000,11011,9762,1212,722,2192,2223,3415,1210,93.4321,93.8858,89.7777,89.1271,92.2385,90
201911,2019-11-01T00:00:00.000,10219,9031,1150,727,2039,2020,3138,1107,94.8188,95.3173,90.7226,91.1504,94.3568,90
201912,2019-12-01T00:00:00.000,10163,8907,1221,661,2124,1977,3078,1067,93.7102,94.3378,88.9891,89.1056,92.6757,90
202001,2020-01-01T00:00:00.000,10416,9118,1265,662,2111,2040,3125,1180,94.1376,94.8723,88.7457,89.6661,93.2228,90
