fips,county,year,election_type,registered_voters,ballots_cast,turnout_rate
48001,ANDERSON,2020,General,29274,19227,0.6568
48003,ANDREWS,2020,General,10272,5863,0.5708
48005,ANGELINA,2020,General,53166,34574,0.6503
48007,ARANSAS,2020,General,18306,12290,0.6714
48009,ARCHER,2020,General,6538,4796,0.7336
48011,ARMSTRONG,2020,General,1498,1112,0.7423
48013,ATASCOSA,2020,General,29409,18118,0.6161
48015,AUSTIN,2020,General,20293,14554,0.7172
48017,BAILEY,2020,General,3539,1860,0.5256
48019,BANDERA,2020,General,17098,12715,0.7437
48021,BASTROP,2020,General,52096,36665,0.7038
48023,BAYLOR,2020,General,2408,1702,0.7068
48025,BEE,2020,General,16033,9420,0.5875
48027,BELL,2020,General,215974,127375,0.5898
48029,BEXAR,2020,General,1189373,768952,0.6465
48031,BLANCO,2020,General,9344,7441,0.7963
48033,BORDEN,2020,General,499,416,0.8337
48035,BOSQUE,2020,General,12724,9126,0.7172
48037,BOWIE,2020,General,61407,38261,0.6231
48039,BRAZORIA,2020,General,224256,154984,0.6911
48041,BRAZOS,2020,General,122137,85061,0.6964
48043,BREWSTER,2020,General,7524,4822,0.6409
48045,BRISCOE,2020,General,1025,725,0.7073
48047,BROOKS,2020,General,5521,2484,0.4499
48049,BROWN,2020,General,23954,15969,0.6667
48051,BURLESON,2020,General,12440,8609,0.692
48053,BURNET,2020,General,33697,24717,0.7335
48055,CALDWELL,2020,General,25945,14973,0.5771
48057,CALHOUN,2020,General,13080,7856,0.6006
48059,CALLAHAN,2020,General,9773,6832,0.6991
48061,CAMERON,2020,General,218910,114174,0.5216
48063,CAMP,2020,General,7904,5060,0.6402
48065,CARSON,2020,General,4345,3122,0.7185
48067,CASS,2020,General,20889,13927,0.6667
48069,CASTRO,2020,General,3853,2083,0.5406
48071,CHAMBERS,2020,General,30709,21652,0.7051
48073,CHEROKEE,2020,General,29166,19508,0.6689
48075,CHILDRESS,2020,General,3658,2279,0.623
48077,CLAY,2020,General,7959,5741,0.7213
48079,COCHRAN,2020,General,1771,1000,0.5647
48081,COKE,2020,General,2414,1779,0.737
48083,COLEMAN,2020,General,5960,4124,0.6919
48085,COLLIN,2020,General,648670,492216,0.7588
48087,COLLINGSWORTH,2020,General,1942,1218,0.6272
48089,COLORADO,2020,General,14378,9975,0.6938
48091,COMAL,2020,General,115876,88863,0.7669
48093,COMANCHE,2020,General,9562,6086,0.6365
48095,CONCHO,2020,General,1757,1268,0.7217
48097,COOKE,2020,General,27268,18988,0.6963
48099,CORYELL,2020,General,41450,23490,0.5667
48101,COTTLE,2020,General,1041,662,0.6359
48103,CRANE,2020,General,2663,1503,0.5644
48105,CROCKETT,2020,General,2473,1574,0.6365
48107,CROSBY,2020,General,3629,1953,0.5382
48109,CULBERSON,2020,General,1709,864,0.5056
48111,DALLAM,2020,General,3046,1609,0.5282
48113,DALLAS,2020,General,1398469,921638,0.659
48115,DAWSON,2020,General,7104,3789,0.5334
48117,DEAF SMITH,2020,General,8900,4610,0.518
48119,DELTA,2020,General,3949,2592,0.6564
48121,DENTON,2020,General,565089,417964,0.7396
48123,DEWITT,2020,General,12094,8118,0.6712
48125,DICKENS,2020,General,1328,988,0.744
48127,DIMMIT,2020,General,7341,3666,0.4994
48129,DONLEY,2020,General,2322,1648,0.7097
48131,DUVAL,2020,General,8346,5053,0.6054
48133,EASTLAND,2020,General,12230,8292,0.678
48135,ECTOR,2020,General,80872,44581,0.5513
48137,EDWARDS,2020,General,1499,1066,0.7111
48141,EL PASO,2020,General,488470,267215,0.547
48139,ELLIS,2020,General,120188,85493,0.7113
48143,ERATH,2020,General,23935,16853,0.7041
48145,FALLS,2020,General,10361,6133,0.5919
48147,FANNIN,2020,General,22199,15004,0.6759
48149,FAYETTE,2020,General,17398,12941,0.7438
48151,FISHER,2020,General,2646,1826,0.6901
48153,FLOYD,2020,General,3850,2039,0.5296
48155,FOARD,2020,General,884,551,0.6233
48157,FORT BEND,2020,General,482368,357514,0.7412
48159,FRANKLIN,2020,General,7061,5009,0.7094
48161,FREESTONE,2020,General,12481,8711,0.6979
48163,FRIO,2020,General,8984,5279,0.5876
48165,GAINES,2020,General,9701,5995,0.618
48167,GALVESTON,2020,General,228482,155060,0.6787
48169,GARZA,2020,General,2681,1653,0.6166
48171,GILLESPIE,2020,General,20404,15846,0.7766
48173,GLASSCOCK,2020,General,800,653,0.8162
48175,GOLIAD,2020,General,5766,3988,0.6916
48177,GONZALES,2020,General,12629,7647,0.6055
48179,GRAY,2020,General,12406,7782,0.6273
48181,GRAYSON,2020,General,86740,59439,0.6853
48183,GREGG,2020,General,72867,47982,0.6585
48185,GRIMES,2020,General,17877,12413,0.6944
48187,GUADALUPE,2020,General,111142,77592,0.6981
48189,HALE,2020,General,18997,9584,0.5045
48191,HALL,2020,General,1926,1168,0.6064
48193,HAMILTON,2020,General,5832,4349,0.7457
48195,HANSFORD,2020,General,3009,2047,0.6803
48197,HARDEMAN,2020,General,2486,1580,0.6356
48199,HARDIN,2020,General,39952,27635,0.6917
48201,HARRIS,2020,General,2480522,1640818,0.6615
48203,HARRISON,2020,General,45933,29710,0.6468
48205,HARTLEY,2020,General,2909,2078,0.7143
48207,HASKELL,2020,General,3377,2214,0.6556
48209,HAYS,2020,General,152840,109357,0.7155
48211,HEMPHILL,2020,General,2355,1720,0.7304
48213,HENDERSON,2020,General,54663,36310,0.6643
48215,HIDALGO,2020,General,391309,220884,0.5645
48217,HILL,2020,General,23625,14931,0.632
48219,HOCKLEY,2020,General,13781,8095,0.5874
48221,HOOD,2020,General,44831,32541,0.7259
48223,HOPKINS,2020,General,23954,15939,0.6654
48225,HOUSTON,2020,General,13444,9437,0.7019
48227,HOWARD,2020,General,17526,10240,0.5843
