treat,age,educ,black,hispanic,married,nodegree,re74,re75,re78
1.0,37.0,11.0,1.0,0.0,1.0,1.0,0,0,9930
1.0,22.0,9.0,0.0,1.0,0.0,1.0,0,0,3596
1.0,30.0,12.0,1.0,0.0,0.0,0.0,0,0,24909
1.0,27.0,11.0,1.0,0.0,0.0,1.0,0,0,7506
1.0,33.0,8.0,1.0,0.0,0.0,1.0,0,0,290
1.0,22.0,9.0,1.0,0.0,0.0,1.0,0,0,4056
1.0,23.0,12.0,1.0,0.0,0.0,0.0,0,0,0
1.0,32.0,11.0,1.0,0.0,0.0,1.0,0,0,8472
1.0,22.0,16.0,1.0,0.0,0.0,0.0,0,0,2164
1.0,33.0,12.0,0.0,0.0,1.0,0.0,0,0,12418
1.0,19.0,9.0,1.0,0.0,0.0,1.0,0,0,8174
1.0,21.0,13.0,1.0,0.0,0.0,0.0,0,0,17095
1.0,18.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,27.0,10.0,1.0,0.0,1.0,1.0,0,0,18740
1.0,17.0,7.0,1.0,0.0,0.0,1.0,0,0,3024
1.0,19.0,10.0,1.0,0.0,0.0,1.0,0,0,3229
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0,0,14582
1.0,23.0,10.0,1.0,0.0,0.0,1.0,0,0,7693
1.0,40.0,12.0,1.0,0.0,0.0,0.0,0,0,10804
1.0,26.0,12.0,1.0,0.0,0.0,0.0,0,0,10747
1.0,23.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,41.0,14.0,0.0,0.0,0.0,0.0,0,0,5150
1.0,38.0,9.0,0.0,0.0,0.0,1.0,0,0,6409
1.0,24.0,11.0,1.0,0.0,0.0,1.0,0,0,1991
1.0,18.0,10.0,1.0,0.0,0.0,1.0,0,0,11163
1.0,29.0,11.0,1.0,0.0,1.0,1.0,0,0,9643
1.0,25.0,11.0,1.0,0.0,0.0,1.0,0,0,9897
1.0,27.0,10.0,0.0,1.0,0.0,1.0,0,0,11143
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,16218
1.0,24.0,11.0,1.0,0.0,0.0,1.0,0,0,996
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,48.0,4.0,1.0,0.0,0.0,1.0,0,0,6552
1.0,25.0,11.0,1.0,0.0,1.0,1.0,0,0,1574
1.0,20.0,12.0,1.0,0.0,0.0,0.0,0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,3192
1.0,42.0,14.0,1.0,0.0,0.0,0.0,0,0,20506
1.0,25.0,5.0,1.0,0.0,0.0,1.0,0,0,6182
1.0,23.0,12.0,1.0,0.0,1.0,0.0,0,0,5912
1.0,46.0,8.0,1.0,0.0,1.0,1.0,0,0,3094
1.0,24.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,21.0,12.0,1.0,0.0,0.0,0.0,0,0,1255
1.0,19.0,9.0,0.0,0.0,0.0,1.0,0,0,13189
1.0,17.0,8.0,1.0,0.0,0.0,1.0,0,0,8061
1.0,18.0,8.0,0.0,1.0,1.0,1.0,0,0,2788
1.0,20.0,11.0,1.0,0.0,0.0,1.0,0,0,3973
1.0,25.0,11.0,1.0,0.0,1.0,1.0,0,0,0
1.0,17.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,17.0,9.0,1.0,0.0,0.0,1.0,0,0,0
1.0,25.0,5.0,1.0,0.0,0.0,1.0,0,0,12187
1.0,23.0,12.0,1.0,0.0,0.0,0.0,0,0,4843
1.0,28.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,31.0,11.0,1.0,0.0,1.0,1.0,0,0,8087
1.0,18.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,2349
1.0,30.0,11.0,1.0,0.0,1.0,1.0,0,0,591
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,37.0,9.0,1.0,0.0,0.0,1.0,0,0,1068
1.0,41.0,4.0,1.0,0.0,1.0,1.0,0,0,7285
1.0,42.0,14.0,1.0,0.0,1.0,0.0,0,0,13168
1.0,22.0,11.0,0.0,0.0,0.0,1.0,0,0,1048
1.0,17.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,29.0,8.0,1.0,0.0,0.0,1.0,0,0,1924
1.0,35.0,10.0,1.0,0.0,0.0,1.0,0,0,4666
1.0,27.0,11.0,1.0,0.0,0.0,1.0,0,0,549
1.0,29.0,4.0,1.0,0.0,0.0,1.0,0,0,763
1.0,28.0,9.0,1.0,0.0,0.0,1.0,0,0,10694
1.0,27.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,23.0,7.0,0.0,0.0,0.0,1.0,0,0,0
1.0,45.0,5.0,1.0,0.0,1.0,1.0,0,0,8547
1.0,29.0,13.0,1.0,0.0,0.0,0.0,0,0,7480
1.0,27.0,9.0,1.0,0.0,0.0,1.0,0,0,0
1.0,46.0,13.0,1.0,0.0,0.0,0.0,0,0,647
1.0,18.0,6.0,1.0,0.0,0.0,1.0,0,0,0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,11966
1.0,28.0,15.0,1.0,0.0,0.0,0.0,0,0,9599
1.0,25.0,11.0,0.0,0.0,0.0,1.0,0,0,18783
1.0,22.0,12.0,1.0,0.0,0.0,0.0,0,0,18678
1.0,21.0,9.0,1.0,0.0,0.0,1.0,0,0,0
1.0,40.0,11.0,1.0,0.0,0.0,1.0,0,0,23006
1.0,22.0,11.0,1.0,0.0,0.0,1.0,0,0,6457
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,0
1.0,18.0,12.0,1.0,0.0,0.0,0.0,0,0,2321
1.0,38.0,12.0,0.0,0.0,0.0,0.0,0,0,4942
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0,0,0
1.0,27.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,38.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,23.0,8.0,0.0,1.0,0.0,1.0,0,0,3881
1.0,26.0,11.0,1.0,0.0,0.0,1.0,0,0,17231
1.0,21.0,12.0,0.0,0.0,0.0,0.0,0,0,8049
1.0,25.0,8.0,1.0,0.0,0.0,1.0,0,0,0
1.0,31.0,11.0,1.0,0.0,1.0,1.0,0,0,14510
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,25.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,21.0,12.0,1.0,0.0,0.0,0.0,0,0,9984
1.0,44.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,25.0,12.0,0.0,0.0,0.0,0.0,0,0,5588
1.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,4483
1.0,42.0,12.0,1.0,0.0,0.0,0.0,0,0,2456
1.0,25.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,31.0,9.0,0.0,1.0,0.0,1.0,0,0,26818
1.0,24.0,10.0,1.0,0.0,0.0,1.0,0,0,0
1.0,26.0,10.0,1.0,0.0,0.0,1.0,0,0,9266
1.0,25.0,11.0,1.0,0.0,0.0,1.0,0,0,485
1.0,18.0,11.0,1.0,0.0,0.0,1.0,0,0,4815
1.0,19.0,11.0,1.0,0.0,0.0,1.0,0,0,7458
1.0,43.0,9.0,1.0,0.0,0.0,1.0,0,0,0
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0,0,34099
1.0,17.0,9.0,1.0,0.0,0.0,1.0,0,0,1953
1.0,30.0,11.0,1.0,0.0,0.0,1.0,0,0,0
1.0,26.0,10.0,1.0,0.0,1.0,1.0,2028,0,0
1.0,20.0,9.0,1.0,0.0,0.0,1.0,6084,0,8882
1.0,17.0,9.0,0.0,1.0,0.0,1.0,445,74,6211
1.0,20.0,12.0,1.0,0.0,0.0,0.0,989,165,0
1.0,18.0,11.0,1.0,0.0,0.0,1.0,858,215,930
1.0,27.0,12.0,1.0,0.0,1.0,0.0,3671,334,0
1.0,21.0,12.0,0.0,0.0,0.0,0.0,3671,334,12558
1.0,27.0,12.0,1.0,0.0,0.0,0.0,2143,358,22163
1.0,20.0,12.0,1.0,0.0,0.0,0.0,0,378,1653
1.0,19.0,10.0,1.0,0.0,0.0,1.0,0,385,8125
1.0,23.0,12.0,1.0,0.0,0.0,0.0,5506,501,671
1.0,29.0,14.0,1.0,0.0,0.0,0.0,0,680,17815
1.0,18.0,10.0,1.0,0.0,0.0,1.0,0,799,9737
1.0,19.0,9.0,1.0,0.0,0.0,1.0,0,799,17685
1.0,27.0,13.0,0.0,0.0,1.0,0.0,9382,854,0
1.0,18.0,11.0,0.0,0.0,0.0,1.0,3678,920,4322
1.0,27.0,9.0,1.0,0.0,1.0,1.0,0,934,1773
1.0,22.0,12.0,1.0,0.0,0.0,0.0,5606,936,0
1.0,23.0,10.0,1.0,0.0,1.0,1.0,0,936,11233
1.0,23.0,12.0,0.0,1.0,0.0,0.0,9386,1117,559
1.0,20.0,11.0,1.0,0.0,0.0,1.0,3637,1221,1085
1.0,17.0,9.0,1.0,0.0,0.0,1.0,1717,1253,5445
1.0,28.0,11.0,1.0,0.0,0.0,1.0,0,1284,60308
1.0,26.0,11.0,1.0,0.0,1.0,1.0,0,1393,1460
1.0,20.0,11.0,1.0,0.0,0.0,1.0,16319,1485,6943
1.0,24.0,11.0,1.0,0.0,1.0,1.0,824,1666,4033
1.0,31.0,9.0,1.0,0.0,0.0,1.0,0,1699,10363
1.0,23.0,8.0,0.0,0.0,1.0,1.0,0,1713,4232
1.0,18.0,10.0,1.0,0.0,0.0,1.0,2143,1784,11141
1.0,29.0,12.0,1.0,0.0,0.0,0.0,10882,1817,0
1.0,26.0,11.0,0.0,0.0,0.0,1.0,0,2226,13386
1.0,24.0,9.0,1.0,0.0,0.0,1.0,9155,2289,4850
1.0,25.0,12.0,1.0,0.0,0.0,0.0,14427,2409,0
1.0,24.0,10.0,1.0,0.0,0.0,1.0,4250,2422,1661
1.0,46.0,8.0,1.0,0.0,0.0,1.0,3166,2595,0
1.0,31.0,12.0,0.0,0.0,0.0,0.0,0,2611,2485
1.0,19.0,11.0,1.0,0.0,0.0,1.0,2305,2615,4147
1.0,19.0,8.0,1.0,0.0,0.0,1.0,0,2657,9971
1.0,27.0,11.0,1.0,0.0,0.0,1.0,2207,2666,0
1.0,26.0,11.0,1.0,0.0,1.0,1.0,0,2755,26372
1.0,20.0,10.0,1.0,0.0,0.0,1.0,5006,2777,5615
1.0,28.0,10.0,1.0,0.0,0.0,1.0,0,2837,3197
1.0,24.0,12.0,1.0,0.0,0.0,0.0,13766,2843,6168
1.0,19.0,8.0,1.0,0.0,0.0,1.0,2636,2937,7536
1.0,23.0,12.0,1.0,0.0,0.0,0.0,6269,3040,8484
1.0,42.0,9.0,1.0,0.0,1.0,1.0,0,3059,1294
1.0,25.0,13.0,1.0,0.0,0.0,0.0,12363,3091,0
1.0,18.0,9.0,1.0,0.0,0.0,1.0,0,3287,5010
1.0,21.0,12.0,1.0,0.0,0.0,0.0,6474,3332,9371
1.0,27.0,10.0,1.0,0.0,0.0,1.0,1001,3550,0
1.0,21.0,8.0,1.0,0.0,0.0,1.0,989,3696,4280
1.0,22.0,9.0,1.0,0.0,0.0,1.0,2193,3837,3463
1.0,31.0,4.0,1.0,0.0,0.0,1.0,8518,4023,7383
1.0,24.0,10.0,1.0,0.0,1.0,1.0,11703,4078,0
1.0,29.0,10.0,1.0,0.0,0.0,1.0,0,4399,0
1.0,29.0,12.0,1.0,0.0,0.0,0.0,9748,4879,10977
1.0,19.0,10.0,0.0,0.0,0.0,1.0,0,5324,13830
1.0,19.0,11.0,0.0,1.0,1.0,1.0,5424,5464,6788
1.0,31.0,9.0,1.0,0.0,0.0,1.0,10717,5518,9559
1.0,22.0,10.0,1.0,0.0,1.0,1.0,1468,5589,13228
1.0,21.0,9.0,1.0,0.0,0.0,1.0,6416,5749,744
1.0,17.0,10.0,1.0,0.0,0.0,1.0,1291,5794,5523
1.0,26.0,12.0,1.0,0.0,1.0,0.0,8409,5795,1425
1.0,20.0,9.0,0.0,1.0,0.0,1.0,12261,5875,1359
1.0,19.0,10.0,1.0,0.0,0.0,1.0,4122,6057,0
1.0,26.0,10.0,1.0,0.0,0.0,1.0,25930,6789,673
1.0,28.0,11.0,1.0,0.0,0.0,1.0,1929,6872,0
1.0,22.0,12.0,0.0,1.0,1.0,0.0,492,7056,10093
1.0,33.0,11.0,1.0,0.0,0.0,1.0,0,7868,6281
1.0,22.0,12.0,0.0,0.0,0.0,0.0,6760,8456,12591
1.0,29.0,10.0,0.0,1.0,0.0,1.0,0,8854,5112
1.0,33.0,12.0,1.0,0.0,1.0,0.0,20280,10941,15953
1.0,25.0,14.0,1.0,0.0,1.0,0.0,35040,11537,36647
1.0,35.0,9.0,1.0,0.0,1.0,1.0,13602,13831,12804
1.0,35.0,8.0,1.0,0.0,1.0,1.0,13732,17976,3787
1.0,33.0,11.0,1.0,0.0,1.0,1.0,14661,25142,4182
0.0,45.0,11.0,0.0,0.0,1.0,1.0,21517,25244,25565
0.0,21.0,14.0,0.0,0.0,0.0,0.0,3176,5853,13496
0.0,38.0,12.0,0.0,0.0,1.0,0.0,23039,25131,25565
0.0,48.0,6.0,0.0,0.0,1.0,1.0,24994,25244,25565
0.0,18.0,8.0,0.0,0.0,1.0,1.0,1669,10728,9861
0.0,22.0,11.0,0.0,0.0,1.0,1.0,16366,18449,25565
0.0,48.0,10.0,0.0,0.0,1.0,1.0,16805,16355,18059
0.0,18.0,11.0,0.0,0.0,0.0,1.0,1144,3620,15739
0.0,48.0,9.0,0.0,0.0,1.0,1.0,25862,25244,25565
0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862,0,3925
0.0,34.0,14.0,0.0,0.0,1.0,0.0,25862,23747,25565
0.0,16.0,10.0,0.0,0.0,0.0,1.0,1027,1225,6848
0.0,53.0,10.0,0.0,0.0,1.0,1.0,25862,25244,25565
0.0,19.0,12.0,0.0,0.0,0.0,0.0,868,4386,8778
0.0,27.0,12.0,0.0,0.0,1.0,0.0,25862,19047,19215
0.0,32.0,10.0,0.0,0.0,1.0,1.0,20427,23374,9180
0.0,27.0,12.0,0.0,0.0,1.0,0.0,20984,14822,25565
0.0,46.0,7.0,0.0,0.0,1.0,1.0,19171,1318,0
0.0,24.0,13.0,0.0,0.0,0.0,0.0,20831,25244,23904
0.0,22.0,13.0,0.0,0.0,0.0,0.0,11037,10352,6557
0.0,49.0,10.0,0.0,0.0,1.0,1.0,392,0,0
0.0,17.0,10.0,0.0,0.0,0.0,1.0,0,0,4755
0.0,29.0,14.0,0.0,0.0,1.0,0.0,21499,22587,20923
0.0,28.0,16.0,0.0,0.0,1.0,0.0,16501,0,10267
0.0,46.0,12.0,0.0,0.0,1.0,0.0,24814,24968,19339
0.0,26.0,17.0,1.0,0.0,1.0,0.0,0,0,4754
0.0,49.0,12.0,0.0,0.0,0.0,0.0,25862,25244,25565
